"season","winner","matches_won","total_matches","win_percentage"
"2007/08","Rajasthan Royals",13,16,81.25
"2007/08","Punjab Kings",10,15,66.6666666666667
"2007/08","Chennai Super Kings",9,16,56.25
"2007/08","Delhi Capitals",7,14,50
"2007/08","Mumbai Indians",7,14,50
"2007/08","Kolkata Knight Riders",6,13,46.1538461538462
"2007/08","Royal Challengers Bangalore",4,14,28.5714285714286
"2007/08","Sunrisers Hyderabad",2,14,14.2857142857143
"2009","Delhi Capitals",10,15,66.6666666666667
"2009","Chennai Super Kings",8,14,57.1428571428571
"2009","Royal Challengers Bangalore",9,16,56.25
"2009","Sunrisers Hyderabad",9,16,56.25
"2009","Punjab Kings",7,14,50
"2009","Rajasthan Royals",6,13,46.1538461538462
"2009","Mumbai Indians",5,13,38.4615384615385
"2009","Kolkata Knight Riders",3,13,23.0769230769231
"2009/10","Mumbai Indians",11,16,68.75
"2009/10","Chennai Super Kings",9,16,56.25
"2009/10","Delhi Capitals",7,14,50
"2009/10","Kolkata Knight Riders",7,14,50
"2009/10","Royal Challengers Bangalore",8,16,50
"2009/10","Sunrisers Hyderabad",8,16,50
"2009/10","Rajasthan Royals",6,14,42.8571428571429
"2009/10","Punjab Kings",4,14,28.5714285714286
"2011","Chennai Super Kings",8,12,66.6666666666667
"2011","Mumbai Indians",8,13,61.5384615384615
"2011","Kolkata Knight Riders",7,12,58.3333333333333
"2011","Punjab Kings",6,11,54.5454545454545
"2011","Royal Challengers Bangalore",7,13,53.8461538461538
"2011","Rajasthan Royals",4,10,40
"2011","Sunrisers Hyderabad",4,11,36.3636363636364
"2011","Delhi Capitals",2,10,20
"2012","Kolkata Knight Riders",10,15,66.6666666666667
"2012","Delhi Capitals",10,16,62.5
"2012","Mumbai Indians",9,15,60
"2012","Chennai Super Kings",9,16,56.25
"2012","Punjab Kings",7,14,50
"2012","Royal Challengers Bangalore",6,13,46.1538461538462
"2012","Rajasthan Royals",5,14,35.7142857142857
"2012","Sunrisers Hyderabad",2,13,15.3846153846154
"2013","Chennai Super Kings",11,16,68.75
"2013","Mumbai Indians",11,17,64.7058823529412
"2013","Rajasthan Royals",10,16,62.5
"2013","Sunrisers Hyderabad",8,15,53.3333333333333
"2013","Royal Challengers Bangalore",7,14,50
"2013","Punjab Kings",6,14,42.8571428571429
"2013","Kolkata Knight Riders",5,14,35.7142857142857
"2013","Delhi Capitals",2,14,14.2857142857143
"2014","Punjab Kings",12,17,70.5882352941177
"2014","Kolkata Knight Riders",11,16,68.75
"2014","Chennai Super Kings",10,16,62.5
"2014","Rajasthan Royals",7,14,50
"2014","Mumbai Indians",7,15,46.6666666666667
"2014","Sunrisers Hyderabad",6,14,42.8571428571429
"2014","Royal Challengers Bangalore",5,14,35.7142857142857
"2014","Delhi Capitals",2,14,14.2857142857143
"2015","Mumbai Indians",10,16,62.5
"2015","Chennai Super Kings",10,17,58.8235294117647
"2015","Kolkata Knight Riders",7,13,53.8461538461538
"2015","Rajasthan Royals",7,14,50
"2015","Royal Challengers Bangalore",8,16,50
"2015","Sunrisers Hyderabad",7,14,50
"2015","Delhi Capitals",5,14,35.7142857142857
"2015","Punjab Kings",3,14,21.4285714285714
"2016","Delhi Capitals",6,10,60
"2016","Mumbai Indians",6,10,60
"2016","Sunrisers Hyderabad",7,12,58.3333333333333
"2016","Kolkata Knight Riders",6,11,54.5454545454545
"2016","Royal Challengers Bangalore",5,11,45.4545454545455
"2016","Punjab Kings",2,10,20
"2017","Mumbai Indians",9,11,81.8181818181818
"2017","Sunrisers Hyderabad",6,10,60
"2017","Kolkata Knight Riders",7,12,58.3333333333333
"2017","Punjab Kings",5,10,50
"2017","Royal Challengers Bangalore",2,9,22.2222222222222
"2017","Delhi Capitals",2,10,20
"2018","Chennai Super Kings",11,16,68.75
"2018","Sunrisers Hyderabad",10,17,58.8235294117647
"2018","Kolkata Knight Riders",9,16,56.25
"2018","Rajasthan Royals",7,15,46.6666666666667
"2018","Mumbai Indians",6,14,42.8571428571429
"2018","Punjab Kings",6,14,42.8571428571429
"2018","Royal Challengers Bangalore",6,14,42.8571428571429
"2018","Delhi Capitals",5,14,35.7142857142857
"2019","Mumbai Indians",11,16,68.75
"2019","Delhi Capitals",10,16,62.5
"2019","Chennai Super Kings",10,17,58.8235294117647
"2019","Kolkata Knight Riders",6,14,42.8571428571429
"2019","Punjab Kings",6,14,42.8571428571429
"2019","Sunrisers Hyderabad",6,15,40
"2019","Rajasthan Royals",5,14,35.7142857142857
"2019","Royal Challengers Bangalore",5,14,35.7142857142857
"2020/21","Mumbai Indians",11,16,68.75
"2020/21","Delhi Capitals",9,17,52.9411764705882
"2020/21","Kolkata Knight Riders",7,14,50
"2020/21","Sunrisers Hyderabad",8,16,50
"2020/21","Royal Challengers Bangalore",7,15,46.6666666666667
"2020/21","Chennai Super Kings",6,14,42.8571428571429
"2020/21","Punjab Kings",6,14,42.8571428571429
"2020/21","Rajasthan Royals",6,14,42.8571428571429
"2021","Chennai Super Kings",11,16,68.75
"2021","Delhi Capitals",10,16,62.5
"2021","Royal Challengers Bangalore",9,15,60
"2021","Kolkata Knight Riders",9,17,52.9411764705882
"2021","Mumbai Indians",7,14,50
"2021","Punjab Kings",6,14,42.8571428571429
"2021","Rajasthan Royals",5,14,35.7142857142857
"2021","Sunrisers Hyderabad",3,14,21.4285714285714
"2022","Gujarat Titans",12,16,75
"2022","Lucknow Super Giants",9,15,60
"2022","Rajasthan Royals",10,17,58.8235294117647
"2022","Royal Challengers Bangalore",9,16,56.25
"2022","Delhi Capitals",7,14,50
"2022","Punjab Kings",7,14,50
"2022","Kolkata Knight Riders",6,14,42.8571428571429
"2022","Sunrisers Hyderabad",6,14,42.8571428571429
"2022","Chennai Super Kings",4,14,28.5714285714286
"2022","Mumbai Indians",4,14,28.5714285714286
"2023","Gujarat Titans",11,17,64.7058823529412
"2023","Chennai Super Kings",10,16,62.5
"2023","Mumbai Indians",9,16,56.25
"2023","Lucknow Super Giants",8,15,53.3333333333333
"2023","Rajasthan Royals",7,14,50
"2023","Royal Challengers Bangalore",7,14,50
"2023","Kolkata Knight Riders",6,14,42.8571428571429
"2023","Punjab Kings",6,14,42.8571428571429
"2023","Delhi Capitals",5,14,35.7142857142857
"2023","Sunrisers Hyderabad",4,14,28.5714285714286
"2024","Kolkata Knight Riders",11,14,78.5714285714286
"2024","Rajasthan Royals",9,15,60
"2024","Sunrisers Hyderabad",9,16,56.25
"2024","Chennai Super Kings",7,14,50
"2024","Delhi Capitals",7,14,50
"2024","Lucknow Super Giants",7,14,50
"2024","Royal Challengers Bangalore",7,15,46.6666666666667
"2024","Gujarat Titans",5,12,41.6666666666667
"2024","Punjab Kings",5,14,35.7142857142857
"2024","Mumbai Indians",4,14,28.5714285714286
